"sim","method","n.dims","fn","fp"
4,"PCA-LDA",28,0,0
4,"PCA-LDA",29,0,0
4,"PCA-LDA",30,0,0
4,"PCA-LDA",31,0,0
4,"PCA-LDA",32,0,0
4,"PCA-LDA",33,0,0
4,"PCA-LDA",34,0,0
4,"PCA-LDA",35,0,0
4,"PCA-LDA",36,0,0
4,"PCA-LDA",37,0,0
4,"PCA-LDA",38,0,0
4,"PCA-LDA",39,0,0
5,"CCA-LDA",2,8,13
5,"CCA-LDA",3,3,8
5,"CCA-LDA",4,2,6
5,"CCA-LDA",5,3,5
5,"CCA-LDA",6,0,3
5,"CCA-LDA",7,2,3
5,"CCA-LDA",8,0,3
5,"CCA-LDA",9,0,3
5,"CCA-LDA",10,0,3
5,"CCA-LDA",11,0,2
5,"CCA-LDA",12,0,0
5,"CCA-LDA",13,0,1
5,"CCA-LDA",14,0,0
5,"CCA-LDA",15,0,0
5,"CCA-LDA",16,0,0
5,"CCA-LDA",17,0,0
5,"CCA-LDA",18,0,0
5,"CCA-LDA",19,0,0
5,"CCA-LDA",20,0,0
5,"CCA-LDA",21,0,0
5,"CCA-LDA",22,0,0
5,"CCA-LDA",23,0,0
5,"CCA-LDA",24,0,0
5,"CCA-LDA",25,0,0
5,"CCA-LDA",26,0,0
5,"CCA-LDA",27,0,0
5,"CCA-LDA",28,0,0
5,"CCA-LDA",29,0,0
5,"CCA-LDA",30,0,0
5,"CCA-LDA",31,0,0
5,"CCA-LDA",32,0,0
5,"CCA-LDA",33,0,0
5,"CCA-LDA",34,0,0
5,"CCA-LDA",35,0,0
5,"CCA-LDA",36,0,0
5,"CCA-LDA",37,0,0
5,"CCA-LDA",38,0,0
5,"CCA-LDA",39,0,0
5,"PCA-LDA",2,7,13
5,"PCA-LDA",3,5,5
5,"PCA-LDA",4,5,4
5,"PCA-LDA",5,4,5
5,"PCA-LDA",6,4,5
5,"PCA-LDA",7,4,3
5,"PCA-LDA",8,4,3
5,"PCA-LDA",9,2,1
5,"PCA-LDA",10,2,1
5,"PCA-LDA",11,2,1
5,"PCA-LDA",12,2,1
5,"PCA-LDA",13,2,3
5,"PCA-LDA",14,1,3
5,"PCA-LDA",15,1,2
5,"PCA-LDA",16,1,2
5,"PCA-LDA",17,1,3
5,"PCA-LDA",18,0,2
5,"PCA-LDA",19,0,1
5,"PCA-LDA",20,0,1
5,"PCA-LDA",21,0,0
5,"PCA-LDA",22,0,0
5,"PCA-LDA",23,0,0
5,"PCA-LDA",24,0,0
5,"PCA-LDA",25,0,0
5,"PCA-LDA",26,0,0
5,"PCA-LDA",27,0,0
5,"PCA-LDA",28,0,0
5,"PCA-LDA",29,0,0
5,"PCA-LDA",30,0,0
5,"PCA-LDA",31,0,0
5,"PCA-LDA",32,0,0
5,"PCA-LDA",33,0,0
5,"PCA-LDA",34,0,0
5,"PCA-LDA",35,0,0
5,"PCA-LDA",36,0,0
5,"PCA-LDA",37,0,0
5,"PCA-LDA",38,0,0
5,"PCA-LDA",39,0,0
6,"CCA-LDA",2,4,8
6,"CCA-LDA",3,2,7
6,"CCA-LDA",4,3,6
