"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",10,6,10,7
"CCA-LDA",10,7,11,13
"CCA-LDA",10,8,8,10
"CCA-LDA",10,9,9,10
"CCA-LDA",10,10,12,12
"CCA-LDA",10,11,10,11
"CCA-LDA",10,12,11,12
"CCA-LDA",10,13,10,11
"CCA-LDA",10,14,11,10
"CCA-LDA",10,15,12,10
"CCA-LDA",10,16,10,8
"CCA-LDA",10,17,8,10
"CCA-LDA",10,18,10,11
"CCA-LDA",10,19,11,11
"CCA-LDA",10,20,11,11
"CCA-LDA",10,21,10,12
"CCA-LDA",10,22,9,12
"CCA-LDA",10,23,10,10
"CCA-LDA",10,24,10,10
"CCA-LDA",10,25,11,9
"CCA-LDA",10,26,10,10
"CCA-LDA",10,27,11,12
"CCA-LDA",10,28,12,11
"CCA-LDA",10,29,12,12
"CCA-LDA",10,30,11,13
"CCA-LDA",10,31,9,12
"CCA-LDA",10,32,11,11
"CCA-LDA",10,33,9,12
"CCA-LDA",10,34,12,11
"CCA-LDA",10,35,12,11
"CCA-LDA",10,36,12,12
"CCA-LDA",10,37,8,11
"CCA-LDA",10,38,9,11
"CCA-LDA",10,39,12,11
"CCA-LDA",10,40,9,10
"CCA-LDA",10,41,10,10
"CCA-LDA",10,42,5,10
"CCA-LDA",10,43,9,12
"CCA-LDA",11,1,12,8
"CCA-LDA",11,2,9,8
"CCA-LDA",11,3,9,7
"CCA-LDA",11,4,10,7
"CCA-LDA",11,5,9,7
"CCA-LDA",11,6,9,6
"CCA-LDA",11,7,11,14
"CCA-LDA",11,8,7,10
"CCA-LDA",11,9,7,14
"CCA-LDA",11,10,11,10
"CCA-LDA",11,11,10,13
"CCA-LDA",11,12,9,10
"CCA-LDA",11,13,9,11
"CCA-LDA",11,14,11,9
"CCA-LDA",11,15,13,8
"CCA-LDA",11,16,10,8
"CCA-LDA",11,17,8,11
"CCA-LDA",11,18,12,11
"CCA-LDA",11,19,12,10
"CCA-LDA",11,20,13,11
"CCA-LDA",11,21,12,11
"CCA-LDA",11,22,11,11
"CCA-LDA",11,23,10,9
"CCA-LDA",11,24,11,9
"CCA-LDA",11,25,13,8
"CCA-LDA",11,26,11,10
"CCA-LDA",11,27,10,12
"CCA-LDA",11,28,13,12
"CCA-LDA",11,29,11,11
"CCA-LDA",11,30,11,11
"CCA-LDA",11,31,8,10
"CCA-LDA",11,32,10,11
"CCA-LDA",11,33,8,11
"CCA-LDA",11,34,12,10
"CCA-LDA",11,35,10,10
"CCA-LDA",11,36,10,12
"CCA-LDA",11,37,11,10
"CCA-LDA",11,38,8,14
"CCA-LDA",11,39,8,11
"CCA-LDA",11,40,9,9
"CCA-LDA",11,41,9,10
"CCA-LDA",11,42,5,9
"CCA-LDA",11,43,8,12
"CCA-LDA",12,1,9,8
"CCA-LDA",12,2,10,8
"CCA-LDA",12,3,10,8
"CCA-LDA",12,4,11,8
"CCA-LDA",12,5,10,7
"CCA-LDA",12,6,8,7
"CCA-LDA",12,7,11,12
"CCA-LDA",12,8,7,10
