"sim","method","n.dims","err","CV","Pi"
200,"CCA-LDA",27,0.0225743408704322,1,1
200,"PCA-LDA",39,5.22160430742755e-11,1,1
21,"CCA-LDA",33,0.0189402592075492,1,1
21,"PCA-LDA",38,0.00558811364144213,1,1
22,"CCA-LDA",31,0.164051054906027,1,1
22,"PCA-LDA",36,3.79236337144226e-05,1,1
23,"CCA-LDA",34,0.0720044739008295,1,1
23,"PCA-LDA",32,0.0111577901263243,1,1
24,"CCA-LDA",37,0.0240183507555451,1,1
24,"PCA-LDA",38,0.00314611220602076,1,1
25,"CCA-LDA",38,0.028751908960577,1,1
25,"PCA-LDA",38,0.000294212905898923,1,1
26,"CCA-LDA",36,0.11718648966177,1,1
26,"PCA-LDA",33,0.0351713491889567,1,1
27,"CCA-LDA",29,0.0360810706583409,1,1
27,"PCA-LDA",31,0.0576388623983461,1,1
28,"CCA-LDA",25,0.0852420878149294,1,1
28,"PCA-LDA",39,0.0528514633242566,1,1
29,"CCA-LDA",23,0.0389675871614227,1,1
29,"PCA-LDA",36,0.000318017337979961,1,1
3,"CCA-LDA",32,0.00847967633116343,1,1
3,"PCA-LDA",36,0.00274709412358671,1,1
30,"CCA-LDA",31,0.0736642990803391,1,1
30,"PCA-LDA",39,0.00919144730057261,1,1
31,"CCA-LDA",31,0.0379527320822693,1,1
31,"PCA-LDA",32,0.0195027391614999,1,1
32,"CCA-LDA",33,0.0474833452436512,1,1
32,"PCA-LDA",39,0.00356155591046172,1,1
33,"CCA-LDA",21,0.0408816703267465,1,1
33,"PCA-LDA",29,0.108694534442979,1,1
34,"CCA-LDA",29,0.0556685002353484,1,1
34,"PCA-LDA",38,0.00105901641737339,1,1
35,"CCA-LDA",34,0.002627228581583,1,1
35,"PCA-LDA",39,1.71527371563244e-08,1,1
36,"CCA-LDA",24,0.0645809801264537,1,1
36,"PCA-LDA",28,0.0860477770878067,1,1
37,"CCA-LDA",34,0.0253872008240407,1,1
37,"PCA-LDA",31,0.022367267662885,1,1
38,"CCA-LDA",17,0.0575041865411754,1,1
38,"PCA-LDA",29,0.0621482605539767,1,1
39,"CCA-LDA",31,0.0296451606198086,1,1
39,"PCA-LDA",38,1.40681612903263e-06,1,1
4,"CCA-LDA",31,0.0510500854015651,1,1
4,"PCA-LDA",36,4.82248142761316e-15,1,1
40,"CCA-LDA",38,0.0596861118984676,1,1
40,"PCA-LDA",32,0.0102992924540208,1,1
41,"CCA-LDA",37,0.00719328820219353,1,1
41,"PCA-LDA",38,0.0508595575463576,1,1
42,"CCA-LDA",30,0.0806247966624666,1,1
42,"PCA-LDA",36,0.107763139389077,1,1
43,"CCA-LDA",37,0.174163040379412,1,1
43,"PCA-LDA",38,1.07017105158108e-12,1,1
44,"CCA-LDA",24,0.0895629008516584,1,1
44,"PCA-LDA",37,0.0045354422988774,1,1
45,"CCA-LDA",32,0.0290280364007434,1,1
45,"PCA-LDA",25,0.0805714490521364,1,1
46,"CCA-LDA",16,0.0864248929126425,1,1
46,"PCA-LDA",18,0.18974003100526,1,1
47,"CCA-LDA",33,0.0012014370019516,1,1
47,"PCA-LDA",31,0.0510438689625694,1,1
48,"CCA-LDA",38,0.00914406168380983,1,1
48,"PCA-LDA",36,0.0154847580797012,1,1
49,"CCA-LDA",32,0.0314192213085605,1,1
49,"PCA-LDA",37,0.00886751312712067,1,1
5,"CCA-LDA",25,0.0885448858966107,1,1
5,"PCA-LDA",27,0.0665444692022574,1,1
50,"CCA-LDA",36,2.29113368197057e-05,1,1
50,"PCA-LDA",32,0.0563368183871946,1,1
51,"CCA-LDA",34,0.00897055722056654,1,1
51,"PCA-LDA",39,2.05085468104912e-07,1,1
52,"CCA-LDA",39,0.0875811672265469,1,1
52,"PCA-LDA",37,3.91780525418428e-05,1,1
53,"CCA-LDA",39,0.00693403360335861,1,1
53,"PCA-LDA",34,0.0207464516057793,1,1
54,"CCA-LDA",39,0.0543654894230038,1,1
54,"PCA-LDA",39,0.000399999453620269,1,1
55,"CCA-LDA",29,0.0526872385716901,1,1
55,"PCA-LDA",36,0.00952864203060949,1,1
56,"CCA-LDA",39,0.0546098644488795,1,1
56,"PCA-LDA",37,0.00810455397045288,1,1
57,"CCA-LDA",27,0.0472684841227187,1,1
57,"PCA-LDA",32,0.0162421900058244,1,1
58,"CCA-LDA",35,0.00285186500157884,1,1
58,"PCA-LDA",37,0.0306426190367965,1,1
59,"CCA-LDA",36,8.71684401084977e-05,1,1
59,"PCA-LDA",31,0.0212631056596746,1,1
6,"CCA-LDA",28,0.0404826104837464,1,1
6,"PCA-LDA",39,7.06145630777293e-07,1,1
60,"CCA-LDA",32,0.014186222303394,1,1
60,"PCA-LDA",38,1.95936275828524e-07,1,1
61,"CCA-LDA",19,0.0409828634817133,1,1
61,"PCA-LDA",37,0.0014484329584407,1,1
62,"CCA-LDA",21,0.0406165714616201,1,1
62,"PCA-LDA",24,0.0985999171068745,1,1
63,"CCA-LDA",32,0.00428805206089336,1,1
63,"PCA-LDA",38,0.0129155145948714,1,1
64,"CCA-LDA",38,0.000999954396955823,1,1
64,"PCA-LDA",37,5.34351916626328e-05,1,1
65,"CCA-LDA",39,0.0298190236398763,1,1
65,"PCA-LDA",34,0.000377370672916232,1,1
66,"CCA-LDA",18,0.0648573631591345,1,1
66,"PCA-LDA",35,0.0221884067918641,1,1
67,"CCA-LDA",32,0.0208531778773723,1,1
67,"PCA-LDA",35,6.5788567194173e-05,1,1
68,"CCA-LDA",32,0.124441181849773,1,1
68,"PCA-LDA",37,0.0840723634845654,1,1
69,"CCA-LDA",35,0.0319819633611986,1,1
69,"PCA-LDA",37,0.000332009181825944,1,1
7,"CCA-LDA",38,0.0123904776419213,1,1
7,"PCA-LDA",39,4.04552666869654e-05,1,1
70,"CCA-LDA",16,0.0577447926402381,1,1
70,"PCA-LDA",32,0.0161918905403087,1,1
71,"CCA-LDA",10,0.204405841892022,1,1
71,"PCA-LDA",38,2.78451460013366e-05,1,1
72,"CCA-LDA",30,0.0308735458675986,1,1
72,"PCA-LDA",37,0.0127995666600986,1,1
73,"CCA-LDA",16,0.078719889237509,1,1
73,"PCA-LDA",34,0.00121687022453917,1,1
74,"CCA-LDA",35,0.0100480174943487,1,1
74,"PCA-LDA",31,0.0507978071748527,1,1
75,"CCA-LDA",17,0.122371348189642,1,1
75,"PCA-LDA",36,0.0427312315854525,1,1
76,"CCA-LDA",25,0.15610693489668,1,1
76,"PCA-LDA",29,0.111408262129957,1,1
77,"CCA-LDA",16,0.0448117561304888,1,1
77,"PCA-LDA",39,1.37094280555291e-06,1,1
78,"CCA-LDA",34,0.038738090612839,1,1
78,"PCA-LDA",31,0.0750469572052924,1,1
79,"CCA-LDA",33,0.050488819382114,1,1
79,"PCA-LDA",36,0.000342480374270758,1,1
8,"CCA-LDA",23,0.0506820431460385,1,1
8,"PCA-LDA",38,0.00139340119433075,1,1
80,"CCA-LDA",37,0.00160846194154497,1,1
80,"PCA-LDA",29,0.170831807865364,1,1
81,"CCA-LDA",34,0.00543725595414304,1,1
81,"PCA-LDA",39,3.31729947405224e-08,1,1
82,"CCA-LDA",35,0.00684353751400915,1,1
82,"PCA-LDA",34,0.012114369272572,1,1
83,"CCA-LDA",27,0.0749870032275939,1,1
83,"PCA-LDA",35,0.0487106319451947,1,1
84,"CCA-LDA",25,0.0402545401729724,1,1
84,"PCA-LDA",39,1.88516557037544e-06,1,1
85,"CCA-LDA",38,0.0243721600192065,1,1
85,"PCA-LDA",32,0.0870052004120881,1,1
86,"CCA-LDA",14,0.0981991128757123,1,1
86,"PCA-LDA",38,0.000422226017267926,1,1
87,"CCA-LDA",11,0.25656792604153,1,1
87,"PCA-LDA",30,0.140954804728964,1,1
88,"CCA-LDA",34,0.0822635789537818,1,1
88,"PCA-LDA",34,0.0714042207180258,1,1
89,"CCA-LDA",38,0.0548583005232368,1,1
89,"PCA-LDA",34,0.047674297016759,1,1
9,"CCA-LDA",38,0.047496413612165,1,1
9,"PCA-LDA",38,0.00126282137140189,1,1
90,"CCA-LDA",24,0.0596014588434375,1,1
90,"PCA-LDA",35,1.34676849013599e-10,1,1
91,"CCA-LDA",39,0.0624429216773621,1,1
91,"PCA-LDA",39,0.000843176967218639,1,1
92,"CCA-LDA",38,0.000481764148932611,1,1
92,"PCA-LDA",38,1.92170965783e-08,1,1
93,"CCA-LDA",33,0.0194421150039698,1,1
93,"PCA-LDA",36,0.0324473751195942,1,1
94,"CCA-LDA",37,0.020325108748769,1,1
94,"PCA-LDA",37,0.0320594690553603,1,1
95,"CCA-LDA",28,0.107915362270202,1,1
95,"PCA-LDA",24,0.130017055208561,1,1
96,"CCA-LDA",25,0.123623045509153,1,1
96,"PCA-LDA",30,0.0434691174453213,1,1
97,"CCA-LDA",35,0.0104903319546141,1,1
97,"PCA-LDA",33,0.0215991517660245,1,1
98,"CCA-LDA",37,0.0118066741749984,1,1
98,"PCA-LDA",31,0.0165809718722713,1,1
99,"CCA-LDA",28,0.0343013029611685,1,1
99,"PCA-LDA",36,0.00715924122353967,1,1
1,"CCA-LDA",27,0.0115822270538124,3,1
1,"PCA-LDA",35,0.00323105264033605,3,1
10,"CCA-LDA",36,0.101637606820765,3,1
10,"PCA-LDA",25,0.0600785806330737,3,1
100,"CCA-LDA",35,0.0321087224614082,3,1
100,"PCA-LDA",39,1.04337762368051e-07,3,1
101,"CCA-LDA",25,0.0659718335014215,3,1
101,"PCA-LDA",35,0.00676319383965865,3,1
102,"CCA-LDA",37,0.00208626086288876,3,1
102,"PCA-LDA",33,0.01041003822736,3,1
103,"CCA-LDA",37,0.0363702711921025,3,1
103,"PCA-LDA",39,4.26063411121569e-14,3,1
104,"CCA-LDA",30,0.0241679734370151,3,1
104,"PCA-LDA",35,0.0601211765419267,3,1
105,"CCA-LDA",3,0.350531739587219,3,1
105,"PCA-LDA",35,0.0668842985293825,3,1
106,"CCA-LDA",38,0.0114602059295442,3,1
106,"PCA-LDA",31,0.0405304687447629,3,1
107,"CCA-LDA",31,0.0344047321242246,3,1
107,"PCA-LDA",37,0.0599177460685566,3,1
108,"CCA-LDA",33,0.0105231015092069,3,1
108,"PCA-LDA",33,0.085098031180605,3,1
109,"CCA-LDA",31,0.0275557104415902,3,1
109,"PCA-LDA",37,0.0198847321240847,3,1
11,"CCA-LDA",38,0.00895202515968264,3,1
11,"PCA-LDA",37,0.00823574974104723,3,1
110,"CCA-LDA",36,0.0461547244347781,3,1
110,"PCA-LDA",34,0.00604564214457151,3,1
111,"CCA-LDA",25,0.0736653131019881,3,1
111,"PCA-LDA",30,0.0218997201295123,3,1
112,"CCA-LDA",32,0.0585876655758705,3,1
112,"PCA-LDA",37,0.0456058715736118,3,1
113,"CCA-LDA",33,0.0319157727624143,3,1
113,"PCA-LDA",33,0.0279064175279717,3,1
114,"CCA-LDA",34,0.0128285019962837,3,1
114,"PCA-LDA",37,0.0358610149421041,3,1
115,"CCA-LDA",28,0.0387746848651208,3,1
115,"PCA-LDA",37,0.00869091512969998,3,1
116,"CCA-LDA",34,0.0770704310152378,3,1
116,"PCA-LDA",39,6.86581725649403e-05,3,1
117,"CCA-LDA",27,0.0840295659685516,3,1
117,"PCA-LDA",30,0.118677061570084,3,1
118,"CCA-LDA",20,0.0512681797071242,3,1
118,"PCA-LDA",33,0.0532086709362594,3,1
119,"CCA-LDA",36,0.000761083797983833,3,1
119,"PCA-LDA",32,0.0447977144743246,3,1
12,"CCA-LDA",10,0.121040454865732,3,1
12,"PCA-LDA",37,6.16630289711104e-05,3,1
120,"CCA-LDA",31,0.00583351408071416,3,1
120,"PCA-LDA",24,0.14857451991976,3,1
121,"CCA-LDA",36,0.0378799230655224,3,1
121,"PCA-LDA",39,8.39064692706323e-13,3,1
122,"CCA-LDA",27,0.0610912723848628,3,1
122,"PCA-LDA",17,0.176538704273561,3,1
123,"CCA-LDA",20,0.0323918331501159,3,1
123,"PCA-LDA",38,0.00130390023339611,3,1
124,"CCA-LDA",32,0.012563075407924,3,1
124,"PCA-LDA",29,0.0375788811093625,3,1
125,"CCA-LDA",28,0.0511137893483488,3,1
125,"PCA-LDA",25,0.118975021211154,3,1
126,"CCA-LDA",37,0.0305197169160497,3,1
126,"PCA-LDA",29,0.0927731551905796,3,1
127,"CCA-LDA",39,0.033053071083816,3,1
127,"PCA-LDA",34,0.025551264320107,3,1
128,"CCA-LDA",28,0.0554756802152434,3,1
128,"PCA-LDA",31,0.0210819797478877,3,1
129,"CCA-LDA",28,0.0194948597664966,3,1
129,"PCA-LDA",37,0.0165832158532258,3,1
13,"CCA-LDA",35,0.0299173248142847,3,1
13,"PCA-LDA",32,0.0576037248450467,3,1
130,"CCA-LDA",34,0.0208255963853182,3,1
130,"PCA-LDA",35,0.0824155682082622,3,1
131,"CCA-LDA",33,0.133450276394637,3,1
131,"PCA-LDA",35,0.0470693982103306,3,1
132,"CCA-LDA",35,0.0414261276459894,3,1
132,"PCA-LDA",30,0.059015709883684,3,1
133,"CCA-LDA",13,0.0817493514530047,3,1
133,"PCA-LDA",36,0.00259579708580058,3,1
134,"CCA-LDA",27,0.028725777892574,3,1
134,"PCA-LDA",37,0.000469211931967969,3,1
135,"CCA-LDA",39,0.0263159155616808,3,1
135,"PCA-LDA",39,6.97215071086855e-05,3,1
136,"CCA-LDA",20,0.0810720894814156,3,1
136,"PCA-LDA",26,0.112384828948919,3,1
137,"CCA-LDA",31,0.0224885686187179,3,1
137,"PCA-LDA",39,0.0521099857003292,3,1
138,"CCA-LDA",37,0.0137386820828632,3,1
138,"PCA-LDA",36,0.0371511387836993,3,1
139,"CCA-LDA",33,0.0136739541697686,3,1
139,"PCA-LDA",39,0.0137614315101192,3,1
14,"CCA-LDA",39,0.0132050975712965,3,1
14,"PCA-LDA",38,0.0707141539084929,3,1
140,"CCA-LDA",37,0.028149274606765,3,1
140,"PCA-LDA",35,0.00396447063882446,3,1
141,"CCA-LDA",33,0.0188573223592082,3,1
141,"PCA-LDA",39,0,3,1
142,"CCA-LDA",16,0.0415925998690944,3,1
142,"PCA-LDA",34,0.0195775624114272,3,1
143,"CCA-LDA",39,0.0319665230872812,3,1
143,"PCA-LDA",37,1.57293135128433e-05,3,1
144,"CCA-LDA",26,0.0498706623019448,3,1
144,"PCA-LDA",38,0.0994829231460958,3,1
145,"CCA-LDA",37,0.108302172201589,3,1
145,"PCA-LDA",33,0.00152430088109616,3,1
146,"CCA-LDA",23,0.071486218021681,3,1
146,"PCA-LDA",37,0.0246908074497263,3,1
147,"CCA-LDA",34,0.0260869518005841,3,1
147,"PCA-LDA",34,0.0223575663520689,3,1
148,"CCA-LDA",15,0.101225161314178,3,1
148,"PCA-LDA",37,0.00315890429481364,3,1
149,"CCA-LDA",38,0.0233222352401535,3,1
149,"PCA-LDA",35,0.0047861081174528,3,1
15,"CCA-LDA",38,0.033640083170837,3,1
15,"PCA-LDA",37,2.40813732126093e-05,3,1
150,"CCA-LDA",18,0.0513238700954409,3,1
150,"PCA-LDA",39,0.00358109081938375,3,1
151,"CCA-LDA",26,0.0723014700616024,3,1
151,"PCA-LDA",28,0.0448062480437304,3,1
152,"CCA-LDA",39,3.55689106015783e-05,3,1
152,"PCA-LDA",34,0.0149447296047955,3,1
153,"CCA-LDA",33,0.0593023622067665,3,1
153,"PCA-LDA",35,0.0881736053841137,3,1
154,"CCA-LDA",36,0.0258426780129388,3,1
154,"PCA-LDA",27,0.0981404011553823,3,1
155,"CCA-LDA",28,0.0600365445878074,3,1
155,"PCA-LDA",28,0.0695621940921487,3,1
156,"CCA-LDA",22,0.0666177491824846,3,1
156,"PCA-LDA",29,0.0656199589545016,3,1
157,"CCA-LDA",29,0.110825259440588,3,1
157,"PCA-LDA",21,0.153916653486478,3,1
158,"CCA-LDA",32,0.0358771238006585,3,1
158,"PCA-LDA",32,0.138428067341363,3,1
159,"CCA-LDA",35,0.0423829673877243,3,1
159,"PCA-LDA",30,0.103119455825199,3,1
16,"CCA-LDA",32,0.0473639958680745,3,1
16,"PCA-LDA",28,0.0653215373953351,3,1
160,"CCA-LDA",33,0.0204021655394889,3,1
