"sim","method","n.dims","fn","fp"
2,"CCA-LDA",8,0.0827698289086079,0.103854461626666
2,"CCA-LDA",9,0.093373560514159,0.0938442283368793
2,"CCA-LDA",10,0.0866315907224352,0.10005995827419
2,"CCA-LDA",11,0.0847970842235574,0.0928004295466878
2,"CCA-LDA",12,0.0513051093033451,0.053948596856088
2,"CCA-LDA",13,0.0517449534793429,0.0527327564490139
2,"CCA-LDA",14,0.0289343335828884,0.0244475392480441
2,"CCA-LDA",15,0.0386243729393526,0.0217567233347642
2,"CCA-LDA",16,0.0320779521282094,0.0177201176511021
2,"CCA-LDA",17,0.0255393659472059,0.0330239197437961
2,"CCA-LDA",18,0.0354359872626651,0.0338038375158709
2,"CCA-LDA",19,0.0611435854973264,0.0392756840708424
2,"CCA-LDA",20,0.105208224208274,0.0539680743274071
2,"CCA-LDA",21,0.0805959988074096,0.05758769063561
2,"CCA-LDA",22,0.0556743422204756,0.0574665404960176
2,"CCA-LDA",23,0.0733993538633067,0.0576116644403759
2,"CCA-LDA",24,0.0918274689067376,0.0283704818168406
2,"CCA-LDA",25,0.0635489412834694,0.0153633994733251
2,"CCA-LDA",26,0.0485528056158016,0.0125740676537279
2,"CCA-LDA",27,0.0497609028002409,0.0170886717474518
2,"CCA-LDA",28,0.0387891144510048,0.0188049234683081
2,"CCA-LDA",29,0.026635478330498,0.0204462210798773
2,"CCA-LDA",30,0.0145527159284264,0.0124446658748244
2,"CCA-LDA",31,0.00701353358267913,0.00842240281684627
2,"CCA-LDA",32,0.0222374301158195,0.00181093065294163
2,"CCA-LDA",33,0.0293609347395322,0.000703581876003493
2,"CCA-LDA",34,0.0246809058629365,0.00066011043088951
2,"CCA-LDA",35,0.00526261942653423,0.000753519825671936
2,"CCA-LDA",36,4.62334732798388e-05,3.25149168130607e-05
2,"CCA-LDA",37,1.1639444229984e-09,0.00463156053057278
2,"CCA-LDA",38,0.0300867716502871,0.00091601625748633
2,"CCA-LDA",39,6.48121298647444e-62,0.0253790336528287
2,"PCA-LDA",2,0.137463311790843,0.29747815999747
2,"PCA-LDA",3,0.134252897756417,0.297631847240373
2,"PCA-LDA",4,0.118558737466919,0.306172361684959
2,"PCA-LDA",5,0.126544534223671,0.299695210262512
2,"PCA-LDA",6,0.143062531650232,0.301186677650061
2,"PCA-LDA",7,0.143630119512002,0.300815591843484
2,"PCA-LDA",8,0.1442733311533,0.296667384119933
2,"PCA-LDA",9,0.144872660006274,0.297149170552294
2,"PCA-LDA",10,0.146712807190028,0.297221351637785
2,"PCA-LDA",11,0.148334176815665,0.28564047145051
2,"PCA-LDA",12,0.148651567322274,0.285876264982988
2,"PCA-LDA",13,0.148489096808883,0.286146535289045
2,"PCA-LDA",14,0.145299396438675,0.244769798978846
2,"PCA-LDA",15,0.132498210827153,0.237181905673465
2,"PCA-LDA",16,0.134468911041952,0.242373672181517
2,"PCA-LDA",17,0.130640989888295,0.213614248633448
2,"PCA-LDA",18,0.127597448414247,0.195448749541468
2,"PCA-LDA",19,0.123805174008356,0.194499186738771
2,"PCA-LDA",20,0.125219565946055,0.198245563327065
2,"PCA-LDA",21,0.0926619984613963,0.122261614348783
2,"PCA-LDA",22,0.094059089279592,0.123184510037351
2,"PCA-LDA",23,0.0937701029433594,0.119308737910145
2,"PCA-LDA",24,0.105020656888346,0.00898708587165033
2,"PCA-LDA",25,0.105724851980847,0.0071298074220952
2,"PCA-LDA",26,0.104692305628138,0.00691927751621735
2,"PCA-LDA",27,0.0938384472510176,0.0140251440228464
