"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",9,26,2,4
"CCA-LDA",9,27,2,7
"CCA-LDA",9,28,4,7
"CCA-LDA",9,29,3,7
"CCA-LDA",9,30,0,3
"CCA-LDA",9,31,2,4
"CCA-LDA",9,32,3,6
"CCA-LDA",9,33,4,5
"CCA-LDA",9,34,3,7
"CCA-LDA",9,35,4,7
"CCA-LDA",9,36,1,5
"CCA-LDA",9,37,3,6
"CCA-LDA",9,38,4,6
"CCA-LDA",9,39,4,6
"CCA-LDA",9,40,3,5
"CCA-LDA",9,41,3,6
"CCA-LDA",9,42,3,3
"CCA-LDA",9,43,3,8
"CCA-LDA",10,1,2,8
"CCA-LDA",10,2,3,5
"CCA-LDA",10,3,2,8
"CCA-LDA",10,4,3,5
"CCA-LDA",10,5,2,5
"CCA-LDA",10,6,4,6
"CCA-LDA",10,7,1,2
"CCA-LDA",10,8,2,5
"CCA-LDA",10,9,4,3
"CCA-LDA",10,10,5,4
"CCA-LDA",10,11,3,8
"CCA-LDA",10,12,4,4
"CCA-LDA",10,13,2,3
"CCA-LDA",10,14,3,8
"CCA-LDA",10,15,2,5
"CCA-LDA",10,16,2,5
"CCA-LDA",10,17,4,8
"CCA-LDA",10,18,3,11
"CCA-LDA",10,19,2,6
"CCA-LDA",10,20,1,6
"CCA-LDA",10,21,4,3
"CCA-LDA",10,22,5,9
"CCA-LDA",10,23,4,5
"CCA-LDA",10,24,1,6
"CCA-LDA",10,25,2,5
"CCA-LDA",10,26,2,5
"CCA-LDA",10,27,2,5
"CCA-LDA",10,28,4,7
"CCA-LDA",10,29,2,6
"CCA-LDA",10,30,1,6
"CCA-LDA",10,31,2,4
"CCA-LDA",10,32,3,6
"CCA-LDA",10,33,3,2
"CCA-LDA",10,34,2,5
"CCA-LDA",10,35,3,6
"CCA-LDA",10,36,1,3
"CCA-LDA",10,37,2,4
"CCA-LDA",10,38,3,3
"CCA-LDA",10,39,2,3
"CCA-LDA",10,40,3,5
"CCA-LDA",10,41,3,6
"CCA-LDA",10,42,2,2
"CCA-LDA",10,43,3,6
"CCA-LDA",11,1,4,9
"CCA-LDA",11,2,3,5
"CCA-LDA",11,3,2,7
"CCA-LDA",11,4,3,6
"CCA-LDA",11,5,2,6
"CCA-LDA",11,6,4,5
"CCA-LDA",11,7,1,2
"CCA-LDA",11,8,2,6
"CCA-LDA",11,9,5,3
"CCA-LDA",11,10,4,5
"CCA-LDA",11,11,2,4
"CCA-LDA",11,12,3,5
"CCA-LDA",11,13,2,3
"CCA-LDA",11,14,2,5
"CCA-LDA",11,15,2,5
"CCA-LDA",11,16,3,5
"CCA-LDA",11,17,4,9
"CCA-LDA",11,18,3,10
"CCA-LDA",11,19,2,6
"CCA-LDA",11,20,2,5
"CCA-LDA",11,21,4,3
"CCA-LDA",11,22,3,3
"CCA-LDA",11,23,3,5
"CCA-LDA",11,24,1,5
"CCA-LDA",11,25,2,7
"CCA-LDA",11,26,2,3
"CCA-LDA",11,27,2,5
"CCA-LDA",11,28,5,8
"CCA-LDA",11,29,3,6
"CCA-LDA",11,30,1,6
"CCA-LDA",11,31,2,5
"CCA-LDA",11,32,3,6
"CCA-LDA",11,33,3,3
"CCA-LDA",11,34,2,7
"CCA-LDA",11,35,2,7
"CCA-LDA",11,36,2,3
"CCA-LDA",11,37,2,4
