"sim","method","n.dims","err","n.dims.min","n.dims.max","CV","Pi","Alt"
61,"PCA-LDA",37,0,NA,NA,1,1,2
62,"CCA-LDA",21,3,NA,NA,1,1,2
62,"PCA-LDA",24,0,NA,NA,1,1,2
63,"CCA-LDA",32,4,NA,NA,1,1,2
63,"PCA-LDA",38,3,NA,NA,1,1,2
64,"CCA-LDA",38,5,NA,NA,1,1,2
64,"PCA-LDA",37,0,NA,NA,1,1,2
65,"CCA-LDA",39,4,NA,NA,1,1,2
65,"PCA-LDA",34,0,NA,NA,1,1,2
66,"CCA-LDA",18,3,NA,NA,1,1,2
66,"PCA-LDA",35,0,NA,NA,1,1,2
67,"CCA-LDA",32,3,NA,NA,1,1,2
67,"PCA-LDA",35,0,NA,NA,1,1,2
68,"CCA-LDA",32,1,NA,NA,1,1,2
68,"PCA-LDA",37,0,NA,NA,1,1,2
69,"CCA-LDA",35,4,NA,NA,1,1,2
69,"PCA-LDA",37,0,NA,NA,1,1,2
7,"CCA-LDA",38,3,NA,NA,1,1,2
7,"PCA-LDA",39,1,NA,NA,1,1,2
70,"CCA-LDA",16,5,NA,NA,1,1,2
70,"PCA-LDA",32,1,NA,NA,1,1,2
71,"CCA-LDA",10,5,NA,NA,1,1,2
71,"PCA-LDA",38,0,NA,NA,1,1,2
72,"CCA-LDA",30,1,NA,NA,1,1,2
72,"PCA-LDA",37,1,NA,NA,1,1,2
73,"CCA-LDA",16,5,NA,NA,1,1,2
73,"PCA-LDA",34,0,NA,NA,1,1,2
74,"CCA-LDA",35,4,NA,NA,1,1,2
74,"PCA-LDA",31,2,NA,NA,1,1,2
75,"CCA-LDA",17,4,NA,NA,1,1,2
75,"PCA-LDA",36,0,NA,NA,1,1,2
76,"CCA-LDA",25,3,NA,NA,1,1,2
76,"PCA-LDA",29,0,NA,NA,1,1,2
77,"CCA-LDA",16,5,NA,NA,1,1,2
77,"PCA-LDA",39,0,NA,NA,1,1,2
78,"CCA-LDA",34,2,NA,NA,1,1,2
78,"PCA-LDA",31,1,NA,NA,1,1,2
79,"CCA-LDA",33,1,NA,NA,1,1,2
79,"PCA-LDA",36,0,NA,NA,1,1,2
8,"CCA-LDA",23,4,NA,NA,1,1,2
8,"PCA-LDA",38,0,NA,NA,1,1,2
80,"CCA-LDA",37,3,NA,NA,1,1,2
80,"PCA-LDA",29,2,NA,NA,1,1,2
81,"CCA-LDA",34,4,NA,NA,1,1,2
81,"PCA-LDA",39,1,NA,NA,1,1,2
82,"CCA-LDA",35,7,NA,NA,1,1,2
82,"PCA-LDA",34,0,NA,NA,1,1,2
83,"CCA-LDA",27,4,NA,NA,1,1,2
83,"PCA-LDA",35,1,NA,NA,1,1,2
84,"CCA-LDA",25,4,NA,NA,1,1,2
84,"PCA-LDA",39,0,NA,NA,1,1,2
85,"CCA-LDA",38,2,NA,NA,1,1,2
85,"PCA-LDA",32,1,NA,NA,1,1,2
86,"CCA-LDA",14,2,NA,NA,1,1,2
86,"PCA-LDA",38,1,NA,NA,1,1,2
87,"CCA-LDA",11,0,NA,NA,1,1,2
87,"PCA-LDA",30,1,NA,NA,1,1,2
88,"CCA-LDA",34,4,NA,NA,1,1,2
88,"PCA-LDA",34,0,NA,NA,1,1,2
89,"CCA-LDA",38,0,NA,NA,1,1,2
89,"PCA-LDA",34,0,NA,NA,1,1,2
9,"CCA-LDA",38,2,NA,NA,1,1,2
9,"PCA-LDA",38,0,NA,NA,1,1,2
90,"CCA-LDA",24,5,NA,NA,1,1,2
90,"PCA-LDA",35,0,NA,NA,1,1,2
91,"CCA-LDA",39,4,NA,NA,1,1,2
91,"PCA-LDA",39,1,NA,NA,1,1,2
92,"CCA-LDA",38,3,NA,NA,1,1,2
92,"PCA-LDA",38,1,NA,NA,1,1,2
93,"CCA-LDA",33,4,NA,NA,1,1,2
93,"PCA-LDA",36,1,NA,NA,1,1,2
94,"CCA-LDA",37,3,NA,NA,1,1,2
94,"PCA-LDA",37,0,NA,NA,1,1,2
95,"CCA-LDA",28,5,NA,NA,1,1,2
95,"PCA-LDA",24,0,NA,NA,1,1,2
96,"CCA-LDA",25,4,NA,NA,1,1,2
96,"PCA-LDA",30,0,NA,NA,1,1,2
97,"CCA-LDA",35,0,NA,NA,1,1,2
97,"PCA-LDA",33,0,NA,NA,1,1,2
98,"CCA-LDA",37,5,NA,NA,1,1,2
98,"PCA-LDA",31,0,NA,NA,1,1,2
99,"CCA-LDA",28,1,NA,NA,1,1,2
99,"PCA-LDA",36,0,NA,NA,1,1,2
1,"CCA-LDA",NA,7,13,39,3,1,5
1,"PCA-LDA",NA,2,34,38,3,1,5
2,"CCA-LDA",NA,10,16,39,3,1,5
2,"PCA-LDA",NA,4,24,39,3,1,5
3,"CCA-LDA",NA,14,6,37,3,1,5
3,"PCA-LDA",NA,1,34,39,3,1,5
4,"CCA-LDA",NA,7,12,39,3,1,5
4,"PCA-LDA",NA,2,27,38,3,1,5
5,"CCA-LDA",NA,6,15,38,3,1,5
5,"PCA-LDA",NA,3,25,38,3,1,5
6,"CCA-LDA",NA,6,13,36,3,1,5
6,"PCA-LDA",NA,5,17,39,3,1,5
7,"CCA-LDA",NA,12,5,38,3,1,5
7,"PCA-LDA",NA,3,32,39,3,1,5
8,"CCA-LDA",NA,8,23,39,3,1,5
8,"PCA-LDA",NA,2,32,39,3,1,5
9,"CCA-LDA",NA,5,13,38,3,1,5
9,"PCA-LDA",NA,4,28,39,3,1,5
10,"CCA-LDA",NA,6,18,38,3,1,5
10,"PCA-LDA",NA,2,19,31,3,1,5
11,"CCA-LDA",NA,14,7,39,3,1,5
11,"PCA-LDA",NA,4,30,39,3,1,5
12,"CCA-LDA",NA,7,26,39,3,1,5
12,"PCA-LDA",NA,3,22,39,3,1,5
13,"CCA-LDA",NA,6,9,39,3,1,5
13,"PCA-LDA",NA,0,31,36,3,1,5
14,"CCA-LDA",NA,6,22,39,3,1,5
14,"PCA-LDA",NA,3,27,39,3,1,5
15,"CCA-LDA",NA,6,24,39,3,1,5
15,"PCA-LDA",NA,1,36,39,3,1,5
16,"CCA-LDA",NA,10,22,38,3,1,5
16,"PCA-LDA",NA,0,28,35,3,1,5
17,"CCA-LDA",NA,6,16,39,3,1,5
17,"PCA-LDA",NA,3,25,39,3,1,5
18,"CCA-LDA",NA,9,6,38,3,1,5
18,"PCA-LDA",NA,3,22,39,3,1,5
19,"CCA-LDA",NA,8,8,38,3,1,5
19,"PCA-LDA",NA,1,24,34,3,1,5
20,"CCA-LDA",NA,6,18,38,3,1,5
20,"PCA-LDA",NA,5,21,39,3,1,5
21,"CCA-LDA",NA,4,13,39,3,1,5
21,"PCA-LDA",NA,3,20,39,3,1,5
22,"CCA-LDA",NA,9,16,39,3,1,5
22,"PCA-LDA",NA,1,30,37,3,1,5
23,"CCA-LDA",NA,5,23,39,3,1,5
23,"PCA-LDA",NA,3,27,37,3,1,5
24,"CCA-LDA",NA,9,18,39,3,1,5
24,"PCA-LDA",NA,3,31,39,3,1,5
25,"CCA-LDA",NA,4,23,39,3,1,5
25,"PCA-LDA",NA,1,29,39,3,1,5
26,"CCA-LDA",NA,4,15,38,3,1,5
26,"PCA-LDA",NA,1,25,37,3,1,5
27,"CCA-LDA",NA,9,13,39,3,1,5
27,"PCA-LDA",NA,2,29,37,3,1,5
28,"CCA-LDA",NA,7,11,39,3,1,5
28,"PCA-LDA",NA,1,30,39,3,1,5
29,"CCA-LDA",NA,11,11,38,3,1,5
29,"PCA-LDA",NA,2,33,39,3,1,5
30,"CCA-LDA",NA,2,9,39,3,1,5
30,"PCA-LDA",NA,3,26,39,3,1,5
31,"CCA-LDA",NA,10,20,38,3,1,5
31,"PCA-LDA",NA,0,28,39,3,1,5
32,"CCA-LDA",NA,4,11,38,3,1,5
32,"PCA-LDA",NA,2,27,39,3,1,5
33,"CCA-LDA",NA,6,7,38,3,1,5
33,"PCA-LDA",NA,1,26,39,3,1,5
34,"CCA-LDA",NA,5,22,38,3,1,5
34,"PCA-LDA",NA,3,24,38,3,1,5
35,"CCA-LDA",NA,11,3,36,3,1,5
35,"PCA-LDA",NA,4,23,39,3,1,5
36,"CCA-LDA",NA,11,18,39,3,1,5
36,"PCA-LDA",NA,1,26,39,3,1,5
37,"CCA-LDA",NA,7,13,39,3,1,5
37,"PCA-LDA",NA,0,28,35,3,1,5
38,"CCA-LDA",NA,9,16,38,3,1,5
38,"PCA-LDA",NA,0,26,35,3,1,5
39,"CCA-LDA",NA,8,17,38,3,1,5
39,"PCA-LDA",NA,2,26,39,3,1,5
40,"CCA-LDA",NA,2,26,39,3,1,5
40,"PCA-LDA",NA,0,30,39,3,1,5
